alpha,true_sparsity,pred_sparsity,iou
0.05,0.13942104289940827,0.0018644831730769695,0.8620076330912825
0.1,0.4093197115384616,0.026819411057692255,0.6061985241150283
0.15,0.6224684726331361,0.08847355769230769,0.4129434997454058
0.2,0.7616797337278106,0.17369290865384612,0.28681066809305295
0.25,0.8492264469304733,0.2702719350961539,0.20470223847296948
0.3,0.9040268583579881,0.3691947115384615,0.14999871809252754
